Order,Town,State,Lat,Lon,Organic,Cover,Insecticide,Pesticide,Tillage,Grazed,Composite,POM,Study Year
1,Bladen,NE,40.31971,-98.57358,N,Y,N,Y,N,N,3,6.23,2015
2,Bladen,NE,40.33703,-98.56301,N,N,Y,Y,Y,N,0,4.52,2015
3,York,NE,40.63054,-97.66534,N,Y,N,Y,N,N,3,6.21,2015
4,York,NE,40.97390,-97.49031,N,N,Y,Y,Y,N,0,5.55,2015
5,Bismarck,ND,46.85280,-100.60131,N,Y,N,N,N,Y,5,4.19,2015
6,Bismarck,ND,46.85280,-100.35145,N,N,Y,Y,N,N,1,8.17,2016
7,Bismarck,ND,46.81734,-100.51257,N,Y,N,Y,N,Y,4,5.82,2015
8,Bismarck,ND,47.14250,-100.19720,N,N,Y,Y,N,N,1,3.85,2015
9,White,SD,44.42572,-96.58806,Y,Y,N,N,Y,N,3,8.18,2016
10,White,SD,44.41155,-96.60008,N,N,Y,Y,Y,N,0,5.52,2015
12,Pipestone,MN,44.12416,96.36422,N,N,Y,Y,Y,N,0,4.75,2015
13,Toronto,SD,44.59248,-96.57923,N,Y,Y,Y,N,N,4,7.36,2016
16,Gary,SD,44.80689,-96.35465,N,N,Y,Y,Y,N,0,6.38,2015
17,Arlington,SD,44.41566,-97.18795,N,Y,N,Y,N,Y,4,7.53,2016
18,Arlington,SD,44.42644,-97.25077,N,N,Y,Y,Y,N,0,7.60,2015
19,Lake Norden,SD,44.58976,-97.08649,N,Y,Y,Y,N,Y,3,4.56,2016