State,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ALABAMA,16000,15000,14000,16000,17000,16000,14000,12000,13000,12000,13000,11000,11000,9000,9000,9000,9000,8000,7000,7000
ARIZONA,52000,32000,42000,55000,52000,40000,43000,38000,35000,32000,36000,30000,30000,25000,20000,24000,23000,22000,29000,26000
ARKANSAS,55000,50000,50000,53000,52000,52000,50000,45000,40000,40000,36000,32000,28000,28000,24000,25000,22000,25000,22000,21000
CALIFORNIA,420000,390000,420000,450000,465000,440000,460000,470000,480000,390000,400000,380000,340000,360000,355000,410000,370000,330000,330000,320000
COLORADO,45000,30000,35000,27000,27000,29000,26000,24000,24000,23000,28000,36000,31000,27000,28000,34000,31000,25000,26000,27000
CONNECTICUT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DELAWARE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLORIDA,230000,240000,240000,230000,228000,232000,220000,220000,210000,205000,160000,170000,160000,150000,170000,200000,180000,193000,220000,245000
GEORGIA,70000,75000,75000,75000,65000,55000,55000,50000,52000,63000,59000,63000,60000,65000,65000,55000,65000,59000,67000,73000
HAWAII,8000,8000,9000,8000,8000,7000,8000,7000,7000,8000,9000,10000,10000,10000,10000,10000,9000,10000,13000,15000
IDAHO,125000,110000,120000,120000,120000,100000,100000,100000,100000,100000,95000,95000,92000,90000,103000,97000,87000,92000,83000,100000
ILLINOIS,11000,11000,7000,9000,9000,8000,6000,9000,7000,7000,8000,10000,9000,8000,8000,9000,7000,7000,7000,8000
INDIANA,12000,9000,8000,9000,10000,8000,7000,8000,5000,7000,8000,7000,8000,7000,9000,10000,8000,8000,6000,5000
IOWA,45000,52000,45000,50000,40000,30000,33000,33000,32000,35000,28000,26000,26000,24000,26000,27000,25000,37000,39000,35000
KANSAS,17000,16000,17000,16000,13000,15000,13000,17000,16000,14000,16000,14000,14000,10000,9000,9000,7000,6000,6000,7000
KENTUCKY,3000,3000,3000,3000,3000,4000,4000,5000,5000,5000,5000,5000,4000,4000,5000,5000,4000,5000,3000,5000
LOUISIANA,38000,44000,44000,41000,48000,43000,45000,35000,34000,35000,35000,30000,29000,40000,37000,36000,36000,41000,50000,48000
MAINE,11000,9000,8000,10000,14000,11000,11000,11000,8000,7000,8000,11000,9000,7000,6000,5000,4000,4000,7000,8000
MARYLAND,7000,7000,6000,7000,6000,6000,4000,3000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MASSACHUSETTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MICHIGAN,97000,90000,85000,80000,73000,72000,76000,72000,65000,65000,65000,72000,72000,71000,66000,71000,74000,73000,85000,91000
MINNESOTA,165000,150000,145000,140000,145000,150000,135000,117000,120000,135000,120000,125000,130000,122000,122000,128000,120000,125000,130000,132000
MISSISSIPPI,16000,17000,19000,18000,18000,17000,17000,18000,21000,18000,16000,14000,15000,14000,14000,16000,18000,18000,17000,20000
MISSOURI,23000,22000,24000,23000,24000,23000,22000,18000,17000,16000,15000,15000,14000,11000,11000,11000,8000,7000,10000,12000
MONTANA,106000,117000,107000,115000,122000,124000,136000,134000,145000,140000,130000,132000,135000,134000,146000,157000,145000,145000,159000,162000
NEBRASKA,60000,65000,61000,64000,58000,50000,43000,43000,45000,51000,40000,47000,45000,36000,48000,41000,41000,43000,46000,50000
NEVADA,10000,14000,14000,10000,9000,10000,9000,9000,6000,14000,12000,9000,10000,10000,NA,NA,NA,NA,NA,NA
NEW HAMPSHIRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEW JERSEY,10000,7000,10000,11000,10000,11000,11000,11000,10000,12000,12000,9000,9000,9000,11000,13000,11000,14000,11000,12000
NEW MEXICO,19000,15000,15000,14000,15000,15000,10000,11000,6000,8000,7000,7000,6000,6000,7000,7000,7000,5000,NA,NA
NEW YORK,70000,68000,72000,65000,69000,58000,53000,60000,67000,64000,59000,58000,53000,50000,45000,45000,49000,51000,55000,60000
NORTH CAROLINA,12000,12000,8000,8000,9000,11000,13000,16000,10000,9000,10000,10000,12000,12000,11000,13000,14000,13000,10000,12000
NORTH DAKOTA,220000,230000,245000,230000,255000,300000,280000,320000,340000,390000,370000,350000,420000,400000,450000,510000,460000,480000,480000,490000
OHIO,25000,24000,22000,18000,20000,18000,18000,18000,15000,16000,15000,14000,14000,14000,11000,18000,15000,18000,17000,15000
OKLAHOMA,4000,4000,4000,4000,6000,7000,4000,3000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OREGON,52000,55000,50000,50000,45000,48000,44000,43000,42000,42000,39000,46000,46000,50000,55000,59000,60000,60000,62000,71000
PENNSYLVANIA,25000,23000,22000,26000,28000,25000,26000,29000,27000,30000,28000,28000,25000,23000,21000,30000,24000,16000,13000,17000
RHODE ISLAND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOUTH CAROLINA,9000,9000,NA,NA,NA,NA,7000,5000,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9000
SOUTH DAKOTA,240000,240000,240000,225000,224000,235000,235000,225000,215000,215000,220000,225000,255000,225000,270000,265000,250000,260000,265000,280000
TENNESSEE,5000,5000,7000,7000,8000,9000,8000,8000,6000,6000,7000,7000,7000,7000,7000,8000,7000,6000,7000,7000
TEXAS,84000,82000,94000,91000,108000,105000,97000,114000,140000,116000,84000,82000,105000,77000,89000,100000,78000,92000,106000,116000
UTAH,32000,34000,32000,30000,26000,24000,23000,22000,25000,24000,24000,26000,28000,28000,26000,26000,23000,25000,30000,29000
VERMONT,5000,4000,5000,6000,6000,7000,7000,7000,7000,6000,6000,6000,5000,5000,5000,4000,4000,4000,3000,3000
VIRGINIA,9000,7000,8000,8000,7000,7000,9000,8000,6000,7000,8000,8000,6000,6000,6000,5000,4000,4000,5000,6000
WASHINGTON,60000,60000,60000,58000,52000,52000,48000,50000,58000,56000,51000,49000,46000,49000,62000,71000,71000,62000,69000,68000
WEST VIRGINIA,13000,10000,8000,6000,6000,7000,7000,9000,8000,9000,8000,6000,6000,6000,5000,5000,4000,6000,6000,6000
WISCONSIN,73000,69000,79000,89000,80000,84000,67000,70000,74000,68000,64000,64000,60000,58000,63000,64000,57000,60000,59000,53000
WYOMING,38000,40000,38000,46000,37000,39000,38000,38000,39000,39000,40000,39000,43000,39000,37000,34000,35000,50000,47000,38000
OTHER STATES,8000,7000,14000,16000,15000,18000,8000,9000,8000,15000,15000,16000,15000,16000,26000,26000,25000,30000,33000,31000